EVA #,Country,Crew,Vehicle,Date,Duration,Purpose
140,USA,Soichi Noguchi       Steve Robinson,STS-114/LF1,08/03/2005,6:01,"Shuttle based EVA.  Attached External Stowage Platform (ESP2) to ISS, removed/returned ESP2's grapple fixture, installed ISS solar cell exposure experiment MISSE 5, opened/closed sample lid to enable robotic survey of thermal protection samples and removed two Shuttle tile gap fillers.  Inspected/photographed solar beta gimbal assembly restraint bolts and floating potential probe.  "
141,USA,Bill McArthur        Valeri Tokarev,Incr-12,11/07/2005,5:22,"ISS based EVA.  Egress delayed by 1 hr due to overlooked valve.  Installed P1 TV camera, removed S1 thermal rotary joint motor controller, jettisoned P6 floating potential probe and replaced RPCM of mobile transporter.  Relocated safety tethers and foot restraint as prep for future work.  Camera lens bumper lost overboard.  One of two helmets TVs inoperable. "
142,USA,Piers Sellers    Mike Fossum,STS-121 / ULF1.1,07/08/2006,7:31,ISS based EVA.  Installed cable cutter blade blocker on mobile transporter zenith interface umbilical assembly (IUA).  Demonstrated use of RMS and boom as EV crew work platform for Shuttle thermal protection repairs
143,USA,Piers Sellers    Mike Fossum,STS-121 / ULF1.1,07/10/2006,6:47,ISS based EVA.  Replaced the mobile transporter's nadir IUA and trailing umbilical cable reel.  Stowed thermal system spare pump on ISS airlock pallet.  SAFER latches found unsecured
144,USA,Piers Sellers    Mike Fossum,STS-121 / ULF1.1,07/12/2006,7:11,ISS based EVA.  Tested NOAX repairs on samples of Shuttle RCC thermal protection.  Tested infrared camera on ISS radiators and Shuttle RCC.  Installed grapple fixture on S1 truss ammonia tank.  RCC repair spatula lost overboard.
145,USA,Jeff Williams       Thomas Reiter,Incr-13,08/03/2006,5:54,ISS based EVA.  Installed floating point measurement unit on S1.  Installed MISSE 3 &4 on airlock.  Installed RJMC and replaced radiator MDM on S1.  Installed S0 radiator line shunt jumpers (2) and fluid disconnect spool positioning devices (3).  Tested infrared camera on RCC samples. Installed CETA light on S1 (connector cap lost) and nonpropulsive valve on Lab.  Removed GPS antenna #2.  Setup 3 foot restraints for 12A.  Retrieved ball stack restraint.  Photographed hatch scratch.  One of two helmets TVs inoperable. 
146,USA,Joe Tanner      Heide Stefanyshyn-Piper,STS-115/12A,09/12/2006,6:26,"ISS based EVA.  Connected the P1/P3 lower and upper tray umbilicals.  Released solar array launch restraints and positioned the stowed arrays for automated deployment.  Rotated P4 truss keel pin to stowed position.  Removed of 2 of 16 solar array joint launch locks, deployed all 4 solar array joint braces and removed 2 avionics thermal shrouds.  Lost a small bolt/spring and washer during launch lock cover work. "
147,USA,Dan Burbank       Steve MacLean,STS-115/12A,09/13/2006,7:11,ISS based EVA.  Removed solar array alpha joint launch locks and restraints.  Lost a bolt from a launch lock cover.  Release of one launch restraint bolt required a wrench cheater bar and both crew for leverage.  Cleared items to permit P3 truss access by the ISS mobile transporter for future assembly work.  Secured the velcro of a partially loose thermal cover on P3 truss.  Removed 2 avionics thermal shrouds and relocated 2 foot restraints.   
148,USA,Joe Tanner      Heide Stefanyshyn-Piper,STS-115/12A,09/15/2006,6:42,"ISS based EVA.  Retrieved MISSE-5 experiment.  Installed bolt retainers on the P6 beta gimbal struts.  Unable to engage hinge lock on P6 beta gimbal strut.  Freed snagged tether from mobile transporter.  Release P4 radiator launch restraints.  Set up two foot restraints for 12A.1.  Released bolt torques of P4 MMOD cover.  Replaced S-band antenna and upgraded electronics.  Installed thermal shield on Ku-band antenna electronics.  IR camera imagery of Shuttle wing leading edge.  Due to time on Sband antenna, ran out of time for lab wireless antenna and and ISS radiator IR imagery"
149,USA,Robert Curbeam   Christer Fuglesang,STS-116/12A.1,12/12/2006,6:36,"ISS based EVA.  Removed launch locks from the P5 truss.  Aided alignment and secured the P5 truss to the P4 truss.  Relocated a radiator grapple fixture.  Replaced a failed camera on the S1 truss (13A prep).  Performed 13A assembly get-ahead tasks (P5 electrical connections, latch opening, 2 of 4 outboard launch locks).  Lost removal socket tool overboard "
150,USA,Robert Curbeam   Christer Fuglesang,STS-116/12A.1,12/14/2006,5:00,ISS based EVA.  Reconfigured electrical cables of power channels 2 and 3 and Z1 patch panel.  Relocated both CETA carts (13A prep).  Installed insulation on the force moment sensors of ISS robotic arm.  Installed 4 bags containing fluid line and pump module servicing equipment.
151,USA,Robert Curbeam   Sunita Williams,STS-116/12A.1,12/16/2006,7:31,"ISS based EVA.  Reconfigured electrical cables of power channels 1 and 4, Z1 patch panel and Russian power.  Transfered Service Module MMOD protection panels to PMA3.  Installed the grapple fixture on spare flex hose rotary coupler.  Manually aided retraction of the P6 port solar array-completion deferred to next EVA.  Lost still camera overboard "
152,USA,Robert Curbeam   Christer Fuglesang,STS-116/12A.1,12/18/2006,6:38,ISS based EVA.  Manually aided full retract of P6 port solar array.  Inspected P6 stbd solar array.  Adjusted new insulation of SSRMS force sensors
153,USA,Mike Lopez-Alegria    Sunita Williams,Incr-14,01/31/2007,7:55,ISS based EVA.  Established permanent configuration of the electrical and fluid lines of the loop A thermal system.  Secured and covered the stowed P6 stbd radiator. Relocated 1 of 2 ammonia servicer jumpers.  NH3 leakage induced bakeout and contamination sensing.   Installed ISS to Shuttle power transfer cables between Lab and Z1.  Installed handrail gap spanners on P6.
154,USA,Mike Lopez-Alegria    Sunita Williams,Incr-14,02/04/2007,7:11,ISS based EVA.  Established permanent configuration of the electrical and fluid lines of the loop B thermal system.  NH3 leakage induced bakeout and contamination sensing.  Relocated ammonia servicer jumper.  Secured the stowed P6 aft radiator.  Retrieved an MDM thermal shade.  Installed ISS to Shuttle power transfer cables between Lab and PMA2.  Retrieved a foot restraint for in-cabin thermal shield removal.  Photographed P6 solar array in prep for retraction.
170,USA,Peggy Whitson       Dan Tani,Incr-16,11/20/2007,7:16,ISS based EVA.  Installed stbd thermal cooling lines on Node 2.  Connected elec cables to PMA2.  Lost wiretie overboard and EV2 biomed signal failed
155,USA,Mike Lopez-Alegria    Sunita Williams,Incr-14,02/08/2007,6:40,ISS based EVA.  Removed and jettisoned 4 thermal shrouds. Deployed P3 cargo attachment site  Removed last 2 launch locks from the P5 truss. Finished installation of ISS to Shuttle power transfer cables and reinstalled an in-cabin reconfigured foot restraint.  Photoed PMA2 docked audio connector.  
175,USA,Rex Walheim             Hans Schlegel ,STS-122/1E,02/13/2008,6:45,ISS based EVA.  Replaced nitrogen tank on P1 truss and installed old tank on Shuttle for earth return.  Installed trunnion covers on Columbus
156,USA,Jim Reilly        Danny Olivas,STS-117/13A,06/11/2007,6:15,"ISS based EVA.  Connected electrical lines btw S1 and S3/S4 trusses.  Unstowed solar array blanket boxes and beta gimbals.  Stowed the S3/S4 keel.   Removed and jettisoned thermal shrouds from 5 avionics boxes.  Released restraints for S4 radiator deployment.  Engaged drive lock, removed 6 launch locks and rigidized struts of S4 solar array alpha joint.  Removed SVS target to clear MT path"
157,USA,Pat Forrester         Steve Swanson,STS-117/13A,06/13/2007,7:16,"ISS based EVA.  Aided retraction of enough bays of P6 solar array to permit alpha joint rotation.  Removed 10 of 16 launch locks, deloyed braces and engaged drive lock of S3 solar array alpha joint"
158,USA,Danny Olivas         Jim Reilly,STS-117/13A,06/15/2007,7:58,ISS based EVA.  Replaced vent valve on Lab for US O2 generator.  Secured loose thermal blanket on Shuttle OMS pod.  Finished retracting P6 solar array
159,USA,Pat Forrester           Steve Swanson,STS-117/13A,06/17/2007,6:29,"ISS based EVA.  Opened H2 vent for new US O2 generator.  Installed video camera stand.  Verified drive lock config and removed 6 launch restraints of the S3 solar array alpha joint.   Stowed S3 drag link and keel pin.  Released S4 MMOD shield bolts.  Cleared MT path.  Installed FGB-Node1 local area network cable, but had to subsitute tether hooks for several MMOD shield fasteners.  Relocated foot restraint and removed handrail near Node 1 nadir port"
160,USA,Clay Anderson      Fyodor Yurchikhin ,Incr-15,07/23/2007,7:41,"ISS based EVA.  Installed a video camera stand and jettisoned its stowage restraints.  Replaced a failed RPCM to restore mobile transporter power redundancy.  Jettisoned the early ammonia servicer.  Cleaned the Node1 berthing mechanism seal.  Relocated the P6 aux bag to Z1, removed failed GPS antenna #4 and released Node 2 fluid tray bolts."
161,USA,Rick Mastracchio        Dave Williams,STS-118/13A.1,08/11/2007,6:17,ISS based EVA.  Installed the S5 truss and connected S4-S5 electrical lines.  Relocated the radiator grapple fixture on S5.  Removed S5-S6 launch locks on S5 and opened the S5-S6 capture latch.  Secured the auto retracted P6 radiator.
162,USA,Rick Mastracchio      Dave Williams,STS-118/13A.1,08/13/2007,6:28,ISS based EVA.  Replaced failed CMG 3 and stowed failed unit on pallet outside ISS airlock for return on future Shuttle mission.  Photographed MISSE 3 & 4 experiments.  
163,USA,Rick Mastracchio      Clay Anderson,STS-118/13A.1,08/15/2007,5:28,ISS based EVA.  Relocated the S-band antenna from P6 to P1 and installed new signal processor and transponder on P1.  Retrieved P6 transponder.  Relocated CETA carts.  Damaged glove terminated EVA early.
164,USA,Dave Williams     Clay Anderson,STS-118/13A.1,08/18/2007,5:02,ISS based EVA.  Installed the Orbiter inspection boom restraints on S1.  Engaged S-band antenna gimbal locks on Z1.  Retrieved MISSE 3&4 experiments.  Installed antennas for external wireless sensors on Lab
165,USA,Scott Parazynski     Doug Wheelock,STS-120/10A,10/26/2007,6:14,ISS based EVA.  Stowed old S-band antenna in Shuttle for return.  Released launch power cable from Node 2 and temp secured grapple fixture on Node 2.  Resecured Node 2 window cover that opened during launch.  Demated Z1-P6 fluid lines and covered stowed radiator and avionics box on P6.  Did post EVA ammonia cleanup for minor leak during fluid line demating.  One gloved NO GO after EVA due to cut damage.
166,USA,Scott Parazynski     Dan Tani,STS-120/10A,10/28/2007,6:33,"ISS based EVA.  Demated Z1 to P6 umbilicals and attachment bolts.  Installed Node 2 EVA aids (handrails, foot restraint sockets, slidewire).  Removed all Node 2 berthing mechanism pins, but lost one pin within cover.  Confirmed handrail on CETA cart not source of glove damage.  Inspected starboard solar array alpha joint and collected sample of metallic debris on tape.  Both still cameras and one suit earphone failed.  Configure S1 radiator release cable for deployment and main bus switching unit for P6 startup.  Installed all 4 bolts for Node 2 grapple fixture."
167,USA,Scott Parazynski     Doug Wheelock,STS-120/10A,10/30/2007,7:08,"ISS based EVA.  Connected 4 bolts and 4 cables to mate P6 to P5.  Inspected port solar array alpha joint and found no issues.  Removed solar array avionics thermal shroud.  Released P6 radiator restraints to permit deployment.  Reconfigured P1 radiator cabling for deploy.  Relocated spare MBSU to ISS.  Retrieved N2 vent tool, relocated vent tool bag and installed 1 of 4 S0 gap spanners.  Left a camera outside accidently.  One suit and one glove determined NO GO post EVA due to sublimator degraded and thermal garment damage"
168,USA,Scott Parazynski     Doug Wheelock,STS-120/10A,11/03/2007,7:19,"ISS based EVA.  Inspected and repaired damaged P6 solar array and supported full deployment.  Installed 5 ""cuff links"" as reinforcements for separated panel hinges.  Cut frayed snagged hinge and guide wires.  Retrieved 2 foot restraints with suspect sharp edges for IVA inspect/correct.  Retrieved camera left out by prior EVA.  Pliers lost."
169,USA,Peggy Whitson       Yuri Malenchenko,Incr-16,11/09/2007,6:55,"ISS based EVA.  Prepared PMA2 for relocation to Node 2.  Demated electrical cables, removed light on Lab and removed thermal cover from Node 2 fwd port.  Connected power/data cables for Node 2 grapple fixture.  Connected power cable for service module power.  Replaced failed RPCM.  Reconfigured FGB-PMA1 jumpers.  Retrieved S-band signal processor.  Relocated ammonia vent tool bag on airlock.  Unable to install Node 2 handrail.  Wore overgloves for sharp edge protection"
171,USA,Peggy Whitson       Dan Tani,Incr-16,11/24/2007,7:04,ISS based EVA.  Installed port thermal cooling lines on Node 2.  Connected elec cables to PMA2.  Inspected and photoed stbd solar array joint
172,USA,Peggy Whitson       Dan Tani,Incr-16,12/18/2007,6:56,ISS based EVA.  Inspected stbd solar array alpha and beta joints.  No obvious causes found for rotation issues.  Retrieved 1 trundle bearing from alpha joint for in-cabin and ground assessments.
173,USA,Peggy Whitson       Dan Tani,Incr-16,01/30/2008,7:10,ISS based EVA.  Replaced failed solar array beta gimbal unit and inspected alpha joint
174,USA,Rex Walheim        Stan Love,STS-122/1E,02/11/2008,7:58,"ISS based EVA.  Enabled Columbus installation (demated STS heater cables, installed grapple fixture, removed window & berthing mech covers) and began prep of nitrogen tank transfer by loosening bolts.  Accidently found possible source of cut gloves on airlock handrail (MMOD impact)"
176,USA,Rex Walheim        Stan Love,STS-122/1E,02/15/2008,7:25,"ISS based EVA.  Installed 2 ESA science experiments, 9 handrails, 2 foot restraint sockets and keel pin cover on Columbus.  Transfered failed CMG for Shuttle return.  
Photographed sharp edge on airlock handrail"
177,USA,Rick Linnehan            Garrett Reisman,STS-123/1JA,,7:01,ISS based EVA.  Enabled installation of Japanese logisics module by demating heater cables and removed berthing mechanism covers.  Installed tool devices on Canadian SPDM robot arms.  Marked sharp edge on airlock handrail with wiretie and found 2nd sharp edge on portable handle
178,USA,Rick Linnehan           Mike Foreman,STS-123/1JA,,7:08,ISS based EVA.  Installed both arms on Canadian SPDM robot.  Had to use prybar to release 2 expandable dia fasteners
179,USA,Rick Linnehan              Robert Behnken,STS-123/1JA,,6:53,"ISS based EVA. Installed cameras, lights and tool and spares holders on SPDM.  Removed all but a few blankets from SPDM.  Readied SPDM's spacelab pallet for return via Shuttle.  Transferred spares from Shuttle to ISS (robotic yaw joint, 2 DCSU).  Installed experiment pallet on Columbus.  Unable to install MISSE experiments on pallet due to blocked pip pin hole."
180,USA,Robert Behnken           Mike Foreman,STS-123/1JA,,6:24,"ISS based EVA.  Replaced failed RPCM to permit separate power to CMG2, but not able to demate elec connector of Z1 patch panel to enable power reconfig.  Tested Shuttle tile repair materials, tools and techniques.  Released launch locks of Node 2 nadir and port berth mech.  Removed last thermal cover from SPDM hand.  Did not find previously missing berth mech pip pin.  While restowing MMOD damaged portable handle outside Z1 truss, additional MMOD impacts were found on Z1 tool box"
181,USA,Robert Behnken           Mike Foreman,STS-123/1JA,03/22/2008,6:02,ISS based EVA.  Stowed Shuttle inspection boom on ISS S1 truss with keep alive power.  Installed trundle bearing on stbd solar array alpha joint and completed inspections under joint covers.  Installed MISSE experiments on pallet outside Columbus (1 reqd light hammering of pip pins).  Trunnion covers installed on Japanese module. Cutters stowed in airlock tool box
182,USA,Mike Fossum      Ron Garan,STS-124/1J,06/03/2008,6:48,"ISS based EVA. Released special launch restraint of elbow camera of Shuttle robotic arm. Demated Shuttle inspection boom from ISS truss to permit return/use. Prepared Japanese module for install by demating cables from Shuttle, removing berthing mech covers and releasing window locks. Worked on damaged solar array joint by reinstalling trundle bearing, confirming divot and demonstrating cleaning and lubrication. Verified cargo latch ops on mobile transporter. Removed solar array joint launch restraint."
183,USA,Mike Fossum      Ron Garan,STS-124/1J,06/05/2008,7:11,"ISS based EVA. Installed 2 cameras for JEM robot arm op.  Removed thermal covers from JEM arm.  Prepped JEM berthing mech for stowage module relocation (remove cover, release launch restraints, eliminate insulation interference).  Installed JEM trunnion and keep pin covers.  Prepped for N2 tank replacement.  Retrieved failed camera from truss. Inspected port solar array joint (wear and grease buildup as during past inspection but no metal shavings)."
184,USA,Mike Fossum      Ron Garan,STS-124/1J,06/08/2008,6:33,"ISS based EVA. Replaced N2 tank on S1 truss.  Reinstalled repaired truss camera.  Finished JEM interfaces (window launch locks, berthing mech MMOD shields, robotic arm insulation/launch lock). Sampled port solar array joint contamination.  Removed stbd solar array joint launch restraint"
185,USA,Heide Stefanyshyn-Piper                                       Steve Bowen,STS-126/ULF2,11/18/2008,6:52,"ISS based EVA. Empty N2 tank transferred to Shuttle.  Spare flex hose rotary coupler relocated to ISS.  Thermal covers removed from JEM ext facility berthing mechanism.  Initiated cleaning and lube of stbd SARJ.  2 stbd SARJ trundle bearings replaced and 1 removed.  Lost bag of SARJ cleaning/lube tools overboard.  As bonus, removed SARJ launch restraint, closed Node 2 hatch cover and retrieved spare trash bag from tool box"
201,USA,Chris Cassidy       Tom Marshburn,STS-127/2JA,07/27/2009,4:54,"ISS based EVA.  Adjusted SPDM thermal covers.  Reconfiged elec connectors of Z1 patch panel to restore CMG pwr redundancy.  Installed two JEM external facility video cameras.  Installed JEM handrail, foot restraint socket and gap spanner. Relocated a foot restraint.  Due to high use dry out of CO2 can, lacked time to deploy S3 pallet"
186,USA,Heide Stefanyshyn-Piper                  Shane Kimbrough,STS-126/ULF2,11/20/2008,6:45,ISS based EVA. Relocated both CETA carts from stbd to port truss to prep for S6 truss assy on next STS flt.  Continued replacement of cleaning/lube of stbd solar array joint and replacement of trundle bearings.  Overtightened one new trundle bearing and had to use spare.  Lubed end effector snares of ISS robotic arm.  Reconfigured connectors of port truss attach system bolt controller and photoed suspect area of mobile transporter umbilical. Tasks ended early due to higher than expected work rate for regenerable C02 canister
187,USA,Heide Stefanyshyn-Piper                                       Steve Bowen,STS-126/ULF2,11/22/2008,6:57,ISS based EVA. Replaced all of the remaining stbd trundle bearings except one.  Cleaned and lubed stbd race ring.
188,USA,Steve Bowen                       Shane Kimbrough,STS-126/ULF2,11/24/2008,6:07,"ISS based EVA. Lubricated port SARJ race ring.  Replaced last trundle bearing on stbd SARJ.  Retracted failed latch of JEM ext facility berth mech and installed covers.  For HTV, installed 1 of 2 GPS antennas on JEM logistics module for HTV and a camera on P1 truss.  Tasks ended early due to higher than expected work rate for regenerable C02 canister (same prior crewmember)"
189,USA,Steve Swanson   Richard Arnold,STS-119/15A,03/19/2009,6:07,"ISS based EVA. Bolted S6 to S5 truss and mated electrical cables.  Stowed X6 keel pin, deployed solar array linkages (1 of 4 latches did not engage), removed/jettisoned avionics thermal covers, released radiator restraints and removed blanket box restraints.  Deployed S6 avionics MMOD shield"
190,USA,Steve Swanson         Joseph Acaba,STS-119/15A,03/21/2009,6:30,"ISS based EVA. Loosened restraints of P6 batteries for future replacement.  Unable to fully deploy P3 interface for future ORU spares (adj diameter pin suspect).  Due to time, deferred S3 payload attach sys deploy.  Due to elec conn demate failure, deferred Z1 patch panel reconfig for CMG pwr.  Installed JEM GPS antenna.  Took infrared images of P1 & S1 radiators"
256,Russia,Vladimir Titov          Musa Manarov,Soyuz TM-4    Mir,06/30/1988,5:10,Replace Xray telescope detector module
191,USA,Richard Arnold      Joseph Acaba,STS-119/15A,03/23/2009,6:27,"ISS based EVA. Relocated one CETA cart from port to stbd side of mobile transporter.  Again unable to finish deploy of P3 spares attach sys.  Again deferred S3 payload attach deploy and Z1 patch panel reconfig.  Lubed robotic arm end effector snares, replaced CETA cart coupler, reconfigured elec conns of truss attach bolts and freed clamps of flex hose rotary coupler.  Suit CO2 sensor failed and SAFER handcontroller door accidently opened"
192,USA,John Grunsfeld      Andrew Feustel,STS-125/HST 4,05/14/2009,7:20,HST servicing.  Replaced wide field camera (after high torque time consuming bolt release) and science computer.  Installed soft capture mechanism for future automated disposal mission.  Installed 2 of 3 bolt/latch mechanisms on large doors (after difficulties with alignments).  
193,USA,Mike Massimino                Mike Good ,STS-125/HST 4,05/15/2009,7:56,HST servicing.  Replaced 3 of 3 gyro packages and 1st group of 3 batteries.  Tolerance issue forced installation of 1 non-optimum but adequate spare gyro.  Difficulty closing doors to gyro bay.
194,USA,John Grunsfeld      Andrew Feustel,STS-125/HST 4,05/16/2009,6:36,HST servicing.  Replaced COSTAR with cosmic origins spectrograph (COS).  Repaired failed advanced camera for surveys (ACS) with removal of 4 detector circuit boards and installation of new power supply and new detector circuit boards
195,USA,Mike Massimino                Mike Good ,STS-125/HST 4,05/17/2009,8:02,HST servicing.  Repaired failed space telescope imaging spectrograph (STIS) with new power supply board.  Time lost to stuck handrail bolt and failed power tool battery.  Ran out of time to install new outer blanket (NOBL) #8.  
196,USA,John Grunsfeld      Andrew Feustel,STS-125/HST 4,05/18/2009,7:02,"HST servicing.  Installed 2nd/last group of batteries.  Replaced fine guidance sensor (FGS).  Installed NOBLs 8, 5 and 7 (lots of loose debris with 2nd).  Reinstalled low gain antenna cover to permanently protect exposed antenna parts after tip accidently broken off during equipment cleanup"
197,USA,Dave Wolf              Tim Kopra,STS-127/2JA,07/18/2009,5:32,ISS based EVA. Aided JEM exposed facility install by jettisoning berthing mech covers and removing launch heater cable.  Aided spares pallet transfer by removing launch heater cable.  Removed JEM robot arm ground tab.  Opened Node 1 & 2 berthing camera blankets as prep for PMA3 relocate and HTV arrival.  Reconfig port CETA cart outfitting and rail stop to avoid interferences.  Deployed external pallet site on P3 using special detent tool (S3 pallet deploy deferred).  Removed cover from JEM MAXI experiment.  Released NH3 tank bolt as prep for replace.  Installed 2 of 6 ground connector sleeves for Shuttle to ISS power transfer sys
198,USA,Dave Wolf          Tom Marshburn,STS-127/2JA,07/20/2009,6:52,ISS based EVA.  Transfered 3 large spares to ISS.  Installed grapple bar on P1 ammonia tank as prep for future replace.  Installed 2 of 6 ground connector sleeves for Shuttle to ISS power transfer sys.  Comm cap perf poor due to sweat
199,USA,Dave Wolf         Chris Cassidy,STS-127/2JA,07/22/2009,5:59,ISS based EVA.  Relocated foot restraint socket for HTV arrival prep. Prepped 3 payloads for robotic install outside JEM. Installed 2 of 6 ground connector sleeves for Shuttle to ISS power transfer sys.  Replaced 2 batteries on P6 truss and stowed 2 old batts in Shuttle for return. Stopped early due to suit CO2 increase induced by high work rate
200,USA,Chris Cassidy       Tom Marshburn,STS-127/2JA,07/24/2009,7:12,ISS based EVA.  Replaced 4 batteries on P6 truss and stowed old batts in Shuttle for return.  
202,USA,Danny Olivas        Nicole Stott ,STS-128/17A,09/01/2009,6:35,ISS based EVA.  Removed NH3 tank from P1 and temp stowed.  Transferred MISSE 6a/b & EuTEF experiments to Shuttle
203,USA,Danny Olivas           Christer Fugelsang,STS-128/17A,09/03/2009,6:39,ISS based EVA.  Start delayed to redo prebreathe after comm cap readjust.  Installed new NH3 tank on P1 and stowed old tank on Shuttle.  Installed grapple bar on S1 NH3 tank.  Unable to connect PMA3 heater cables due to prior incorrect clocking of PMA3.  Installed camera lens covers on station arm as prep for HTV.  Relocated a tool stanchion
204,USA,Danny Olivas           Christer Fugelsang,STS-128/17A,09/05/2009,7:01,ISS based EVA.  Deployed S3 zenith pallet.  Replaced failed rate gyro #2 and RPCM on S0.  Installed 2 GPS antennas.  Removed Node1 slidewire as prep for Node3.  Installed two S0-Node3 cables (one connector unable to mate).  Helmet TV camera/lights almost lost overboard due to bumped latches
205,USA,Mike Foreman      Robert Satcher,STS-129/ULF3,11/19/2009,6:37,ISS based EVA.  Installed spare Sband antenna and cables for spare Kuband antenna.  Prepped for Node3 install (replace handrail w/ NH3 line bracket).  Lubricated end effectors of mobile transporter payload base and JEM robot arm.  Installed FGB-Node1 network cable.  Deployed S3 payload attach structure
206,USA,Mike Foreman      Randy Bresnick,STS-129/ULF3,11/21/2009,6:08,ISS based EVA.  Installed ham radio antennas on Columbus.  Relocated floating potential measure unit from S1 to P1. Deployed the last two payload attach structures and installed wireless video transcvr (all on S3).  Retrieved foot restraint for cabin reconfig and relocated tool stanchion.  Photographed suspect seals on Node 2 berth mechanism
207,USA,Robert Satcher          Randy Bresnick,STS-129/ULF3,11/23/2009,5:42,ISS based EVA.  Start delayed by detached drink bag valve. Relocated some airlock MMOD shields and installed O2 tank outside US airlock. Installed MISSE experiments 7A & 7B on external logistics carrier. Released bolt on NH3 tank. Installed thermal covers on mobile base and two fluid jumpers. Relocated a foot restraint
208,USA,Bob Behnken       Nick Patrick,STS-130/20A,,6:32,ISS based EVA.  Prepared Node 3 for ISS install by removing covers and heater cables.  Prepositioned ammonia lines and thermal covers.  Installed Node 3 avionics and heater cables.  Removed/stowed the SPDM ORU Temporary Platform (OTP).  Relocated NH3 jumper bag and released tape restraining Node 3 gap spanners.  One suit fan degraded slightly
209,USA,Bob Behnken       Nick Patrick,STS-130/20A,,5:53,"ISS based EVA.  Outfitted Node 3 by installing 2 NH3 lines, heater cables, trunnion/keel thermal covers, negative pressure vent, handrail gap spanners and 8 handrails.  Opened loop A NH3 line and nadir berthing mechanism pedals and centerline camera thermal cover.  Visually verified berthing seals OK.  Small NH3 leak induced suit bakeout.  Comm degraded on one suit"
210,USA,Bob Behnken       Nick Patrick,STS-130/20A,,5:48,"ISS based EVA.  Connected PMA3 heater and data cables.  Opened loop B NH3 line.  Disconnected Node 3 temp heater cable.  Removed Cupola thermal covers and released launch locks of window shutters  Installed Node 3 handrails, foot restraint sockets and a handrail gap spanner.  Routed FGB grapple fixture video cable.  Closed Node 2 zenith centerline berthing camera flap"
211,USA,Rick Mastracchio          Clayton Anderson ,STS-131/19A,04/09/2010,6:28,ISS based EVA.  Temp stowed new NH3 tank on ISS robot arm.  Retrieved JAXAA's MPAC/SEED experiment for return.  Replaced rate gyro assembly #1. Relocated a foot restraint socket extender.  Removed P1 flex hose rotary coupler launch restraint bolts and released cable clamps.  Tightened grapple fixture attachment bolts of old NH3 tank as prep for return to Shuttle
212,USA,Rick Mastracchio          Clayton Anderson ,STS-131/19A,04/11/2010,7:26,ISS based EVA.  Removed old NH3 tank and temp stowed on CETA cart.  Overcame a troublesome bolt and installed new NH3 tank/cables.  Installed 2 radiator grapple beams and relocated a foot restraint
213,USA,Rick Mastracchio          Clayton Anderson ,STS-131/19A,04/13/2010,6:24,"ISS based EVA.  Finished installing new NH3 tank (fluid lines).  Stowed old NH3 tank (despite a balky bolt) and airlock MMOD shields for Shuttle return.  Relocated grapple fixture from old tank to new tank.  As prep for next Shuttle flt, relocated foot restraint and prepped cables for spare Sband antenna"
214,USA,Garrett Reisman       Steve Bowen,STS-132/ULF4,05/17/2010,7:25,ISS based EVA.  Installed an operational spare Ku antenna boom and dish on Z1.  Installed ORU holder on SPDM.  Loosened bolts on new batteries for P6
215,USA,Steve Bowen           Michael Good,STS-132/ULF4,05/19/2010,7:09,ISS based EVA.  Unsnagged cable of orbiter inspection boom sensor.  Replaced 4 batteries on P6.  Finished bolting Ku antenna dish to boom and releasing launch locks
216,USA,Garrett Reisman       Michael Good,STS-132/ULF4,05/21/2010,6:46,ISS based EVA.  Installed NH3 jumper on port truss.  Replaced 2 batteries on P6.  Transferred grapple fixture to ISS for later install on FGB.
217,USA,Doug Wheellock Tracy Caldwell Dyson,Incr-24,08/07/2010,8:03,"ISS based EVA.  Demated 3 of 4 NH3 connectors from failed coolant pump, but the 4th leaked and was left installed.  Ended work to do suit decontamination. EV2 CO2 sensor failed"
218,USA,Doug Wheellock Tracy Caldwell Dyson,Incr-24,08/11/2010,7:26,"ISS based EVA.  After remote cmds reduced upstream pressure, demated 4th NH3 connector and then demated electrical connectors.  Installed grapple fixture, unbolted old pump, temp stowed it and then demated electrical connectors of new pump"
219,USA,Doug Wheellock Tracy Caldwell Dyson,Incr-24,08/16/2010,7:20,ISS based EVA.  Installed new coolant pump and stowed support equipment.  Connected CETA carts to mobile transporter for unobstructed remote cmd translation.
220,USA,Steve Bowen           Alvin Drew ,STS-133/ULF5,02/28/2011,6:34,ISS based EVA.  Installed backup power cable for new stowage module.  Relocated failed pump module and prepped it for NH3 venting to enable future return.  Repositioned Z1 truss RPCM thermal blanket and an EVA foot restraint socket extension.  Retrieved foot restraint for incabin maintenance.  Added wedge to S1 camera for clearance with nearby logistics carrier.  Enabled MT and CETA cart translation past stbd solar array joint by installing rail extensions and removing stops.  Collected vacuum in JAXA experiment bottle.
221,USA,Steve Bowen           Alvin Drew ,STS-133/ULF5,03/02/2011,6:14,"ISS based EVA.  Late start due to suit leak from damaged CO2 can O-ring.  Vented NH3 from failed pump module enabling future return. Retrieved tool stowage bags used in past pump replacement.  Installed light on port CETA cart, camera on SPDM robot and 3 camera lens covers.  Repositioned camera sunshade for clear view.  Resecured loose radiator grapple beam. Retrieved pallet with MISSE data for return.  Removed thermal insulation from several locations.  Reinstalled foot restraint and relocated another. Relocated Strela grapple fixture adapter to FGB.  Early end due to partly detached helmet lights."
